fat_id,path,start,end,size,class,note
218,/battle/btmap_040_tex.bin,9159680,9214092,54412,container,"in-house EZBIND"
219,/battle/btmap_041_mdl.bin,9214464,9275400,60936,container,"in-house EZBIND"
220,/battle/btmap_041_tex.bin,9275904,9320408,44504,container,"in-house EZBIND"
221,/battle/btmap_042_mdl.bin,9320448,9393992,73544,container,"in-house EZBIND"
222,/battle/btmap_042_tex.bin,9394176,9449384,55208,container,"in-house EZBIND"
223,/battle/btmap_043_mdl.bin,9449472,9497564,48092,container,"in-house EZBIND"
224,/battle/btmap_043_tex.bin,9497600,9530004,32404,container,"in-house EZBIND"
225,/battle/cer000_mdl.bin,9530368,9550668,20300,container,"in-house EZBIND"
226,/battle/cer000_mot.bin,9550848,9626604,75756,container,"in-house EZBIND"
227,/battle/cer000_tex.bin,9626624,9635304,8680,container,"in-house EZBIND"
228,/battle/effmodel.bin,9635328,9658684,23356,container,"in-house EZBIND"
229,/battle/enm010_mdl.bin,9658880,9681820,22940,container,"in-house EZBIND"
230,/battle/enm010_mot.bin,9681920,9789248,107328,container,"in-house EZBIND"
231,/battle/enm010_tex.bin,9789440,9798136,8696,container,"in-house EZBIND"
232,/battle/enm011_mdl.bin,9798144,9821084,22940,container,"in-house EZBIND"
233,/battle/enm011_tex.bin,9821184,9829864,8680,container,"in-house EZBIND"
234,/battle/enm012_mdl.bin,9829888,9852828,22940,container,"in-house EZBIND"
235,/battle/enm012_tex.bin,9852928,9861608,8680,container,"in-house EZBIND"
236,/battle/enm013_mdl.bin,9861632,9886200,24568,container,"in-house EZBIND"
237,/battle/enm013_tex.bin,9886208,9894888,8680,container,"in-house EZBIND"
238,/battle/enm01g_mdl.bin,9894912,9915944,21032,container,"in-house EZBIND"
239,/battle/enm01g_tex.bin,9916416,9925128,8712,container,"in-house EZBIND"
240,/battle/enm040_mdl.bin,9925632,9943932,18300,container,"in-house EZBIND"
241,/battle/enm040_mot.bin,9944064,10006092,62028,container,"in-house EZBIND"
242,/battle/enm040_tex.bin,10006528,10015320,8792,container,"in-house EZBIND"
243,/battle/enm041_mdl.bin,10015744,10034044,18300,container,"in-house EZBIND"
244,/battle/enm041_tex.bin,10034176,10043000,8824,container,"in-house EZBIND"
245,/battle/enm042_mdl.bin,10043392,10061692,18300,container,"in-house EZBIND"
246,/battle/enm042_tex.bin,10061824,10070680,8856,container,"in-house EZBIND"
247,/battle/enm043_mdl.bin,10071040,10089340,18300,container,"in-house EZBIND"
248,/battle/enm043_tex.bin,10089472,10098200,8728,container,"in-house EZBIND"
249,/battle/enm04g_mdl.bin,10098688,10117076,18388,container,"in-house EZBIND"
250,/battle/enm04g_tex.bin,10117120,10121768,4648,container,"in-house EZBIND"
251,/battle/enm050_mdl.bin,10122240,10133584,11344,container,"in-house EZBIND"
252,/battle/enm050_mot.bin,10134016,10191608,57592,container,"in-house EZBIND"
253,/battle/enm050_tex.bin,10191872,10196552,4680,container,"in-house EZBIND"
254,/battle/enm051_mdl.bin,10196992,10208336,11344,container,"in-house EZBIND"
255,/battle/enm051_tex.bin,10208768,10213432,4664,container,"in-house EZBIND"
256,/battle/enm052_mdl.bin,10213888,10225228,11340,container,"in-house EZBIND"
